iter	RMSE
0	4.12583049
1	3.997510735
2	3.895516993
3	3.840634754
4	3.796085385
5	3.765605278
6	3.752703994
7	3.741100514
8	3.714932713
9	3.701323945
10	3.680871089
11	3.663899877
12	3.648716954
13	3.639338047
14	3.620742816
15	3.611656984
16	3.596605224
17	3.593897744
18	3.588522385
19	3.581885608
20	3.571113018
21	3.562220049
22	3.551552237
23	3.544954276
24	3.540154183
25	3.529242149
26	3.525979221
27	3.503815198
28	3.490260617
29	3.48524187
30	3.478822779
31	3.471015469
32	3.463363549
33	3.450941229
34	3.443337634
35	3.429903986
36	3.409458852
37	3.399644806
38	3.393539807
39	3.384464876
40	3.370757378
41	3.357548291
42	3.351581227
43	3.347915325
44	3.34016268
45	3.33822476
46	3.335972268
47	3.322584927
48	3.314933166
49	3.309827038
50	3.306301918
51	3.302524009
52	3.294456176
53	3.283215752
54	3.281852713
55	3.267397371
56	3.2655032
57	3.252307257
58	3.241336534
59	3.236338222
60	3.229916134
61	3.219658569
62	3.215229525
63	3.205956506
64	3.198837815
65	3.191859313
66	3.183250497
67	3.175998589
68	3.174671803
69	3.170718162
70	3.167223611
71	3.160835932
72	3.155787122
73	3.149870219
74	3.144372783
75	3.139093672
76	3.136056723
77	3.133114011
78	3.129946744
79	3.125943598
80	3.113390612
81	3.110746912
82	3.108799487
83	3.102731563
84	3.097683419
85	3.096641815
86	3.096150461
87	3.094253302
88	3.087080529
89	3.085241859
90	3.081672247
91	3.076215898
92	3.060848252
93	3.054495913
94	3.051759882
95	3.044112049
96	3.040804659
97	3.037492604
98	3.035898188
99	3.029320991
100	3.022759359
101	3.022065569
102	3.016894264
103	3.016023248
104	3.013325879
105	3.011144729
106	3.010688099
107	2.99865211
108	2.996329018
109	2.994566996
110	2.993036206
111	2.988677005
112	2.983313696
113	2.981634408
114	2.973577651
115	2.971237821
116	2.969135279
117	2.96726986
118	2.964462544
119	2.961898768
120	2.957691969
121	2.956716139
122	2.955134149
123	2.951449191
124	2.945000128
125	2.941874466
126	2.939838245
127	2.935369599
128	2.934569186
129	2.933603659
130	2.932735367
131	2.930649205
132	2.926698688
133	2.918807599
134	2.914702067
135	2.911230191
136	2.90625442
137	2.900883717
138	2.897560218
139	2.892185478
140	2.88932488
141	2.885934245
142	2.881817134
143	2.878041496
144	2.875871998
145	2.872610791
146	2.871987715
147	2.868723279
148	2.866738728
149	2.865987061
150	2.863513942
151	2.860815419
152	2.860445917
153	2.859148896
154	2.858830002
155	2.857022742
156	2.856525318
157	2.856074183
158	2.854077268
159	2.849843523
160	2.848118045
161	2.846293377
162	2.845126446
163	2.841550585
164	2.840598685
165	2.838807315
166	2.83681328
167	2.834329593
168	2.832070179
169	2.831377212
170	2.827074342
171	2.826097204
172	2.824356791
173	2.823305444
174	2.820564643
175	2.819287021
176	2.819075465
177	2.817627832
178	2.815927623
179	2.812616111
180	2.812061692
181	2.811741947
182	2.809211871
183	2.805734442
184	2.804566547
185	2.802298338
186	2.799931967
187	2.798584306
188	2.797596257
189	2.795543016
190	2.793492941
191	2.791502312
192	2.790720848
193	2.790531202
194	2.788924209
195	2.787138861
196	2.783094732
197	2.78208902
198	2.779439227
199	2.777987585
200	2.775115403
201	2.772469598
202	2.770826286
203	2.770195228
204	2.769460389
205	2.767699233
206	2.76566308
207	2.762816276
208	2.76038299
209	2.758714433
210	2.757648286
211	2.756808669
212	2.754202309
213	2.753291154
214	2.751442251
215	2.749359199
216	2.748015982
217	2.746931635
218	2.745090686
219	2.742788936
220	2.741098913
221	2.736321329
222	2.735335692
223	2.733939109
224	2.732701735
225	2.729272232
226	2.727733146
227	2.726582622
228	2.726074171
229	2.723473997
230	2.723155227
231	2.722124731
232	2.720931205
233	2.719577478
234	2.71828719
235	2.717271239
236	2.715967016
237	2.715205642
238	2.71462005
239	2.712385174
240	2.711396686
241	2.710906786
242	2.709639298
243	2.708568012
244	2.706068505
245	2.704567646
246	2.704015581
247	2.703549052
248	2.702681248
249	2.702063067
250	2.700750057
251	2.699144616
252	2.69747194
253	2.694052206
254	2.692865573
255	2.692389432
256	2.691227907
257	2.689333891
258	2.687211018
259	2.686341986
260	2.684606597
261	2.684209203
262	2.682593486
263	2.681044099
264	2.678841191
265	2.678392177
266	2.677532157
267	2.675504512
268	2.675144012
269	2.673601361
270	2.671247463
271	2.669863626
272	2.669105413
273	2.667851136
274	2.666278322
275	2.663955219
276	2.662412596
277	2.661284141
278	2.660158239
279	2.658200942
280	2.657134018
281	2.655630901
282	2.655424402
283	2.654116856
284	2.653877926
285	2.652267862
286	2.651215903
287	2.648932238
288	2.647591091
289	2.646819534
290	2.645938048
291	2.644937161
292	2.64384686
293	2.641376969
294	2.641143408
295	2.640367706
296	2.639963994
297	2.638359671
298	2.638140919
299	2.637433422
