iter	Passed	Remaining
0	0	230
1	1	223
2	2	230
3	2	217
4	3	204
5	3	193
6	4	188
7	5	185
8	5	180
9	6	177
10	6	174
11	7	171
12	7	175
13	8	173
14	8	170
15	9	168
16	9	166
17	10	164
18	11	162
19	11	160
20	11	159
21	12	158
22	13	156
23	13	155
24	14	154
25	14	153
26	15	152
27	15	151
28	16	150
29	16	148
30	17	147
31	17	147
32	18	146
33	18	145
34	19	144
35	19	143
36	20	142
37	20	141
38	21	140
39	21	140
40	22	139
41	22	138
42	23	137
43	23	136
44	24	136
45	24	135
46	24	134
47	25	133
48	25	133
49	26	132
50	26	131
51	27	131
52	27	130
53	28	129
54	28	128
55	29	128
56	29	127
57	30	126
58	30	126
59	31	125
60	31	125
61	32	124
62	32	123
63	33	123
64	33	122
65	34	122
66	34	121
67	35	120
68	35	120
69	36	119
70	37	120
71	37	120
72	39	121
73	39	121
74	40	120
75	40	120
76	41	119
77	41	118
78	42	118
79	42	117
80	43	116
81	43	116
82	44	115
83	44	115
84	45	114
85	45	113
86	46	113
87	46	112
88	47	112
89	48	112
90	48	111
91	49	111
92	49	110
93	50	110
94	50	109
95	51	109
96	51	108
97	52	108
98	52	107
99	53	106
100	53	106
101	54	105
102	54	105
103	55	104
104	55	103
105	56	103
106	56	102
107	57	102
108	57	101
109	58	101
110	58	100
111	59	99
112	59	99
113	60	98
114	61	98
115	61	97
116	62	97
117	62	96
118	63	95
119	63	95
120	64	94
121	64	94
122	65	93
123	65	93
124	66	92
125	66	91
126	67	91
127	67	90
128	68	90
129	68	89
130	69	89
131	69	88
132	70	88
133	70	87
134	71	86
135	71	86
136	72	85
137	72	85
138	73	84
139	73	84
140	74	83
141	74	83
142	75	82
143	75	81
144	76	81
145	76	80
146	77	80
147	77	80
148	78	79
149	79	79
150	79	78
151	80	78
152	80	77
153	81	77
154	82	76
155	82	76
156	83	75
157	83	75
158	84	74
159	85	74
160	85	74
161	86	73
162	87	73
163	87	72
164	88	72
165	88	71
166	89	71
167	89	70
168	90	70
169	91	69
170	91	69
171	92	68
172	93	68
173	93	67
174	94	67
175	94	66
176	95	66
177	95	65
178	96	65
179	97	64
180	97	64
181	98	63
182	98	63
183	99	62
184	99	62
185	100	61
186	100	60
187	101	60
188	101	59
189	102	59
190	102	58
191	103	58
192	103	57
193	104	57
194	104	56
195	105	55
196	105	55
197	106	54
198	106	54
199	107	53
200	107	53
201	108	52
202	108	52
203	109	51
204	109	50
205	110	50
206	110	49
207	111	49
208	111	48
209	112	48
210	112	47
211	113	47
212	113	46
213	114	45
214	114	45
215	115	44
216	115	44
217	116	43
218	116	43
219	117	42
220	117	42
221	118	41
222	118	41
223	119	40
224	119	39
225	120	39
226	120	38
227	121	38
228	121	37
229	122	37
230	122	36
231	123	36
232	123	35
233	124	35
234	124	34
235	125	33
236	125	33
237	126	32
238	126	32
239	127	31
240	127	31
241	128	30
242	128	30
243	129	29
244	129	29
245	130	28
246	130	28
247	131	27
248	131	27
249	132	26
250	132	25
251	133	25
252	133	24
253	134	24
254	134	23
255	135	23
256	135	22
257	136	22
258	136	21
259	137	21
260	137	20
261	138	20
262	138	19
263	139	18
264	139	18
265	140	17
266	140	17
267	141	16
268	141	16
269	142	15
270	143	15
271	143	14
272	144	14
273	144	13
274	145	13
275	145	12
276	146	12
277	146	11
278	147	11
279	147	10
280	148	10
281	148	9
282	149	8
283	149	8
284	150	7
285	150	7
286	151	6
287	152	6
288	152	5
289	153	5
290	154	4
291	154	4
292	155	3
293	155	3
294	156	2
295	156	2
296	157	1
297	157	1
298	158	0
299	158	0
