latitude_unlock,longitude_unlock,latitude_lock,longitude_lock,distance,station_unlock_count,station_lock_count,trip_speed,lock_unlock_time_gap_hours
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0
2,2,2,2,2,2,2,2,1
3,3,3,3,3,3,3,3,0
4,4,4,4,4,4,4,4,0
5,5,5,5,5,5,5,5,0
6,6,6,6,6,6,6,6,1
7,7,7,7,7,7,7,7,2
8,8,8,8,8,8,8,8,0
9,9,9,9,9,9,9,9,0
10,10,10,10,10,10,10,10,1
11,11,11,11,11,11,11,11,0
12,12,12,12,12,12,12,12,0
13,13,13,13,13,13,13,13,0
14,14,14,14,14,14,14,14,1
15,15,15,15,15,15,15,15,0
16,16,16,16,16,16,16,16,0
17,17,17,17,17,17,17,17,0
18,18,18,18,18,18,18,18,0
19,19,17,17,19,19,17,19,0
20,20,19,19,20,20,19,20,0
21,21,20,20,21,21,20,21,0
22,22,21,21,22,22,21,22,0
23,23,22,22,23,23,22,23,0
21,21,23,23,24,21,23,24,0
24,24,24,24,25,24,24,25,0
25,25,25,25,26,25,25,26,1
26,26,26,26,27,26,26,27,0
27,27,1,1,28,27,1,28,0
28,28,21,21,29,28,21,29,0
29,29,27,27,30,29,16,30,0
30,30,28,28,31,30,27,31,0
31,31,29,29,32,31,28,32,0
32,32,30,30,33,32,29,33,0
18,18,23,23,34,18,23,34,0
33,33,31,31,35,10,30,35,0
3,3,32,32,36,3,31,36,0
34,34,33,33,37,33,32,37,0
35,35,34,34,38,34,33,38,0
36,36,35,35,39,35,34,39,1
37,37,0,0,40,36,0,40,0
38,38,36,36,41,37,35,41,0
39,39,37,37,42,38,36,42,1
40,40,38,38,43,39,37,43,1
41,41,39,39,44,40,38,44,1
42,42,40,40,45,41,39,45,0
43,43,41,41,46,42,40,46,0
44,44,42,42,47,43,41,47,0
45,45,43,43,48,44,42,48,0
46,46,44,44,49,45,43,49,0
47,47,45,45,50,46,44,50,0
48,48,46,46,51,47,45,51,0
44,44,7,7,52,43,7,52,0
49,49,47,47,53,48,46,53,0
29,29,48,48,54,29,47,54,0
1,1,41,41,55,1,40,55,0
26,26,49,49,56,26,48,56,0
50,50,50,50,57,49,49,57,1
0,0,15,15,58,0,15,58,1
51,51,51,51,59,50,50,59,0
52,52,52,8,60,51,51,60,0
6,6,26,26,61,6,26,61,0
53,53,53,52,62,52,52,62,0
54,7,54,53,63,32,53,63,0
28,28,55,54,64,28,54,64,0
55,54,40,40,65,36,39,65,0
56,55,56,55,66,53,55,66,0
57,56,57,56,67,54,56,67,1
58,57,58,57,68,55,57,68,0
59,58,59,58,69,56,18,69,1
18,18,0,59,70,18,58,70,0
60,59,60,60,71,57,59,71,0
61,60,47,47,72,58,46,72,1
55,54,61,61,73,36,60,73,0
62,61,6,6,74,59,6,74,1
63,62,62,62,75,60,61,75,0
